Algorithm,Noise level,True sparsity,MSE,Correct Percentage
matching_pursuit,0.0,2,0.001197181682295916,1.0
matching_pursuit,0.0,5,0.0022552612326651976,0.96
matching_pursuit,0.0,10,0.31909675759000317,0.73
matching_pursuit,0.0,20,0.7830053920693982,0.43
matching_pursuit,0.0,50,1.7840677845302721,0.06999999999999999
matching_pursuit,0.0,100,1.8911312304471148,0.012
matching_pursuit,0.01,2,0.0008767349136314162,1.0
matching_pursuit,0.01,5,0.003673398405298294,0.96
matching_pursuit,0.01,10,0.9479322241440371,0.65
matching_pursuit,0.01,20,0.881494526392357,0.43
matching_pursuit,0.01,50,1.7269563515031805,0.066
matching_pursuit,0.01,100,2.320864452002095,0.003
matching_pursuit,0.05,2,0.013420075737713907,0.8
matching_pursuit,0.05,5,0.06584236052781291,0.6799999999999999
matching_pursuit,0.05,10,0.7837248975568972,0.25
matching_pursuit,0.05,20,1.4302313238230937,0.11500000000000002
matching_pursuit,0.05,50,2.3769915299982958,0.018
matching_pursuit,0.05,100,2.8459445179006773,0.004
matching_pursuit,0.1,2,0.1550206179872605,0.85
matching_pursuit,0.1,5,1.0490960205560511,0.28
matching_pursuit,0.1,10,3.3609582599259453,0.1
matching_pursuit,0.1,20,3.753121158355006,0.025
matching_pursuit,0.1,50,4.769820563254827,0.004
matching_pursuit,0.1,100,5.173944800250943,0.0
orthogonal_matching_pursuit,0.0,2,6.328699836804523e-32,1.0
orthogonal_matching_pursuit,0.0,5,0.03855654272716945,0.9199999999999999
orthogonal_matching_pursuit,0.0,10,0.2870930547685722,0.8
orthogonal_matching_pursuit,0.0,20,0.8068788232451507,0.6
orthogonal_matching_pursuit,0.0,50,1.663045911978962,0.20400000000000001
orthogonal_matching_pursuit,0.0,100,2.1133973268773376,0.014000000000000002
orthogonal_matching_pursuit,0.01,2,0.0007796884767028312,0.95
orthogonal_matching_pursuit,0.01,5,0.0007704900218548782,0.9400000000000001
orthogonal_matching_pursuit,0.01,10,0.5211267473688078,0.6599999999999999
orthogonal_matching_pursuit,0.01,20,0.9914378156371425,0.395
orthogonal_matching_pursuit,0.01,50,1.5633121738501647,0.062
orthogonal_matching_pursuit,0.01,100,2.3952210406199868,0.009
orthogonal_matching_pursuit,0.05,2,0.03646703087225737,0.9
orthogonal_matching_pursuit,0.05,5,0.11631628106455882,0.6
orthogonal_matching_pursuit,0.05,10,1.2605932140110232,0.27999999999999997
orthogonal_matching_pursuit,0.05,20,1.9382540520505938,0.05
orthogonal_matching_pursuit,0.05,50,3.0664004565096468,0.01
orthogonal_matching_pursuit,0.05,100,3.3704871017749083,0.005
orthogonal_matching_pursuit,0.1,2,0.344702203596177,0.55
orthogonal_matching_pursuit,0.1,5,1.187521453437806,0.32
orthogonal_matching_pursuit,0.1,10,2.9241085521941934,0.08
orthogonal_matching_pursuit,0.1,20,4.286808018556092,0.030000000000000006
orthogonal_matching_pursuit,0.1,50,6.154482069221743,0.004
orthogonal_matching_pursuit,0.1,100,7.171017199553854,0.001
